feature,importance
num__Fertilizer_kg_per_ha,0.648034536082922
num__Humidity_pct,0.10711750871589085
num__Area_hectare,0.07971974896649438
num__Rainfall_mm,0.0492804362587187
cat__Crop_Sugarcane,0.042908616369105534
cat__Crop_Maize,0.022390147633058775
cat__State_Uttar Pradesh,0.012910710331428883
num__Temperature_C,0.009226991503157252
cat__Season_Annual,0.004492112098375807
cat__State_Jharkhand,0.0029297289639791603
cat__State_Assam,0.0027474645772465702
cat__State_Bihar,0.0020449066429018576
cat__State_Kerala,0.0018191037710291113
cat__Crop_Coconut,0.0015817752441943237
cat__Crop_Apple,0.0015766853035581703
cat__Crop_Jute,0.0014797535036621047
cat__Crop_Cotton,0.0009528896732173363
cat__State_Himachal Pradesh,0.0009325221232740017
cat__State_Chhattisgarh,0.0008872938663686857
cat__Season_Rabi,0.0007940467596369154
cat__State_Punjab,0.0007933147566784055
cat__State_West Bengal,0.0007792817529887437
cat__State_Madhya Pradesh,0.0007572395163718026
cat__State_Haryana,0.0007284732754098215
cat__Crop_Wheat,0.0007165724410871587
cat__Season_Kharif,0.0006170820264440216
cat__Crop_Tea,0.00040995715887329204
cat__State_Telangana,0.0003519765172432862
cat__Crop_Soybean,0.0002578104118951408
cat__State_Andhra Pradesh,0.0001967510343206536
cat__Season_Samba,0.00017454392803003643
cat__Season_Zaid,0.00015409504317702278
cat__State_Karnataka,7.179998264017777e-05
cat__State_Maharashtra,5.189064132696742e-05
cat__State_Gujarat,4.008213864731034e-05
cat__Crop_Rice,3.761064458201277e-05
cat__State_Tamil Nadu,2.023085154783874e-05
cat__State_Rajasthan,1.4309490515772412e-05
